date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2025-12-25,0,0.0,0.03603603603603611,0,77400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0029067999999997,-0.0510801896615658
2025-12-26,0,0.0,0.029209621993127044,0,83800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0029067999999997,-0.0510801896615658
2025-12-29,0,0.0,-0.00497512437810943,0,93400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0029067999999997,-0.0510801896615658
2025-12-30,0,0.0,-0.02684563758389269,0,100200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0029067999999997,-0.0510801896615658
2025-12-31,0,0.0,-0.005154639175257825,0,103900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0029067999999997,-0.0510801896615658
2026-01-05,0,0.0,-0.013913043478260834,0,109400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0029067999999997,-0.0510801896615658
2026-01-06,0,0.0,-0.039568345323741094,0,112700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0029067999999997,-0.0510801896615658
2026-01-07,0,0.0,-0.003724394785847407,0,137600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0029067999999997,-0.0510801896615658
2026-01-08,1,1.0,-0.03358208955223885,1800,140500,0.9620036477965849,1.8917012029432845,0.004713099961033269,-0.032306092649885355,-0.03701919261091862,472680.0,-3240000.000000004,-3712680.000000004,0.9657799999999996,-0.08620843489280072
2026-01-09,0,0.0,0.044660194174757306,0,148300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-12,0,0.0,0.005576208178438735,0,155800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-13,0,0.0,0.0037105751391466324,0,160500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-14,0,0.0,0.07434944237918217,0,164900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-15,0,0.0,-0.01683501683501687,0,173800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9657799999999996,-0.08620843489280072
2026-01-16,0,0.0,0.005172413793103292,0,180900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-19,0,0.0,-0.0017182130584192379,0,182600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9657799999999996,-0.08620843489280072
2026-01-20,0,0.0,0.078125,0,187100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-21,0,0.0,0.007936507936507908,0,193500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9657799999999996,-0.08620843489280072
2026-01-22,0,0.0,-0.009493670886076,0,197900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9657799999999996,-0.08620843489280072
2026-01-23,0,0.0,-0.015873015873015928,0,196200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9657799999999996,-0.08620843489280072
2026-01-26,1,1.0,-0.001612903225806428,1500,195900,0.9629522251444428,1.9243513015386526,0.004810101679471515,-0.0015531487502329494,-0.006363250429704465,464550.0,-149999.9999999978,-614549.9999999978,0.9596344999999997,-0.09202311946212938
2026-01-27,0,0.0,0.019354838709677358,0,193400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596344999999997,-0.09202311946212938
2026-01-28,0,0.0,-0.018750000000000044,0,188600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9596344999999997,-0.09202311946212938
2026-01-29,0,0.0,0.0031847133757962887,0,182600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596344999999997,-0.09202311946212938
2026-01-30,0,0.0,0.007936507936507908,0,180000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9596344999999997,-0.09202311946212938
2026-02-02,1,1.0,-0.015625,1400,176900,0.9336888158981362,1.852788744047864,0.004624677416245456,-0.014588887748408379,-0.019213565164653834,443800.0,-1400000.0,-1843800.0,0.9411964999999997,-0.10946859242434293
2026-02-03,0,0.0,0.015923566878981,0,175600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9411964999999997,-0.10946859242434293
2026-02-04,1,1.0,-0.023510971786833812,1400,154500,0.9490048039915151,1.8756975828108158,0.004678087944440933,-0.022312025172214263,-0.026990113116655196,440300.0,-2099999.9999999963,-2540299.9999999963,0.9157934999999997,-0.1335041358487441
2026-02-05,1,1.0,-0.004854368932038833,1400,151700,0.9447544670277743,1.884922747322404,0.004710013774939438,-0.004586186733144534,-0.00929620050808397,431340.0,-419999.9999999998,-851339.9999999998,0.9072800999999997,-0.14155925514131962
2026-02-06,1,1.0,-0.02110389610389618,1400,148400,0.950533357890248,1.8810067585522927,0.00469248691776663,-0.02005995722820336,-0.024752444145969988,425740.0,-1820000.0000000065,-2245740.0000000065,0.8848226999999996,-0.16280776173105904
2026-02-09,0,0.0,-0.013266998341625147,0,140600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8848226999999996,-0.16280776173105904
2026-02-10,0,0.0,0.030354131534570117,0,139400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-02-11,0,0.0,-0.0016339869281045694,0,136200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8848226999999996,-0.16280776173105904
2026-02-12,0,0.0,0.02287581699346397,0,126900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-02-13,0,0.0,0.006399999999999961,0,122300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-02-23,0,0.0,0.0031645569620253333,0,120700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-02-24,0,0.0,0.052050473186119994,0,116700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-02-25,0,0.0,0.0029940119760478723,0,113700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-02-26,0,0.0,-0.02092675635276542,0,109200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8848226999999996,-0.16280776173105904
2026-02-27,0,0.0,0.029185867895545448,0,104500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-03-02,0,0.0,0.011940298507462588,0,108200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8848226999999996,-0.16280776173105904
2026-03-03,1,1.0,-0.013313609467455523,1300,107000,0.9931933256233142,1.973163663183596,0.004926297663927474,-0.013222988063032192,-0.018149285726959664,435890.00000000006,-1169999.9999999914,-1605889.9999999914,0.8687637999999998,-0.1780022028717949
2026-03-04,0,0.0,-0.03994082840236668,0,108600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8687637999999998,-0.1780022028717949
2026-03-05,1,1.0,-0.016949152542373058,1300,110900,0.9711500410122982,1.9258399118379468,0.004806369694501543,-0.016460170186649293,-0.021266539881150834,417560.0,-1430000.0000000151,-1847560.0000000151,0.8502881999999996,-0.19548325180663995
2026-03-06,1,1.0,0.023569023569023573,1400,111100,0.9780213344134377,1.9790936767086735,0.004959259695712583,0.0230510078817982,0.018091748186085613,421680.0,1960000.0000000002,1538320.0000000002,0.8656713999999996,-0.18092813738683722
2026-03-09,0,0.0,0.031746031746031855,0,122300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-10,0,0.0,0.018433179723502446,0,127800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-11,0,0.0,0.001524390243902607,0,126600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-12,0,0.0,0.012307692307692353,0,124200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-13,0,0.0,0.013698630136986134,0,120200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-16,0,0.0,0.008955223880596996,0,122800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-17,0,0.0,-0.06499261447562787,0,119300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8656713999999996,-0.18092813738683722
2026-03-18,0,0.0,0.0015797788309637184,0,131900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-19,0,0.0,0.004754358161648042,0,135400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8656713999999996,-0.18092813738683722
2026-03-20,0,0.0,-0.038461538461538436,0,135600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8656713999999996,-0.18092813738683722
