entry_date,exit_date,entry_price,exit_price,shares,holding_sessions,gross_pnl,net_pnl,net_return,exit_reason
2024-11-13,2024-11-19,33.94,33.1,2600,4,-2184000.0,-2618668.0,-0.029616077215045455,fixed_horizon_exit
2024-11-20,2024-11-26,33.22,33.46,2600,4,624000.0,190268.0,0.002198492839726928,fixed_horizon_exit
2025-02-26,2025-03-04,37.7,38.9,2300,4,2760000.0,2318170.0,0.02668138524012982,fixed_horizon_exit
2025-03-05,2025-03-11,39.22,40.42,2200,4,2640000.0,2200660.0,0.025453936593920777,fixed_horizon_exit
2025-03-12,2025-03-18,40.5,40.34,2200,4,-352000.0,-796444.0,-0.008920923584928908,fixed_horizon_exit
2025-03-26,2025-04-01,39.62,40.42,2200,4,1760000.0,1318900.0,0.01510104475551673,fixed_horizon_exit
2025-04-03,2025-04-10,35.02,34.18,2600,4,-2184000.0,-2632708.0,-0.02885662142305908,fixed_horizon_exit
2025-07-02,2025-07-08,35.59,36.12,2500,4,1325000.0,876150.0,0.009827493089123803,fixed_horizon_exit
2025-07-09,2025-07-15,36.21,37.06,2400,4,2040000.0,1599360.0,0.018367021824894813,fixed_horizon_exit
2025-07-16,2025-07-22,37.28,36.61,2400,4,-1608000.0,-2050536.0,-0.02287244181165566,fixed_horizon_exit
2025-07-23,2025-07-29,36.84,36.43,2400,4,-984000.0,-1423128.0,-0.016063692376376455,fixed_horizon_exit
2025-07-30,2025-08-05,36.7,36.84,2400,4,336000.0,-105408.0,-0.0011943415621073928,fixed_horizon_exit
2025-08-06,2025-08-12,37.33,37.86,2300,4,1219000.0,786048.0,0.009136829475257896,fixed_horizon_exit
2025-08-13,2025-08-19,38.31,35.85,2300,4,-5658000.0,-6081591.0,-0.06888259502920549,fixed_horizon_exit
2025-08-20,2025-08-26,36.21,34.56,2200,4,-3630000.0,-4017420.0,-0.05033015989561887,fixed_horizon_exit
2025-08-28,2025-09-05,35.23,33.45,2200,4,-3916000.0,-4291782.0,-0.05526301923544339,fixed_horizon_exit
2025-09-08,2025-09-12,33.45,33.8,2200,4,770000.0,399740.0,0.005421145750352807,fixed_horizon_exit
2025-09-15,2025-09-19,34.16,32.29,2200,4,-4114000.0,-4477418.0,-0.05945924310629327,fixed_horizon_exit
2025-09-22,2025-09-26,32.64,32.33,2100,4,-651000.0,-991767.0,-0.014440176020508004,fixed_horizon_exit
2025-10-10,2025-10-16,32.02,30.64,2100,4,-2898000.000000015,-3225516.000000015,-0.04787302347210659,fixed_horizon_exit
2025-10-17,2025-10-23,30.37,29.25,2100,4,-2352000.0,-2663829.0,-0.041684494034650486,fixed_horizon_exit
2025-10-27,2025-10-31,30.95,30.59,2000,4,-720000.0,-1027340.0,-0.01656364169883174,fixed_horizon_exit
2025-11-03,2025-11-07,30.15,29.39,2000,4,-1520000.0,-1816940.0,-0.03007153189475113,fixed_horizon_exit
2025-11-11,2025-11-17,30.15,30.68,2000,4,1060000.0,755320.0,0.01250103441541461,fixed_horizon_exit
2025-11-18,2025-11-24,30.68,28.72,2000,4,-3920000.0,-4215040.0,-0.06855649847631985,fixed_horizon_exit
