horizon,date,symbols,positions,gross_return,turnover,selection_turnover,cost_turnover,cost,net_return,market_return,net_excess_return,market_regime
5,2025-06-23,"TCB,HPG,VHM",3,0.009193514303327118,0.6666666666666666,0.6666666666666666,1.0,0.005,0.004193514303327118,0.007600553566329049,-0.0034070392630019307,sideways
5,2025-06-30,"TCB,VHM,HPG",3,0.02537445502890952,0.0,0.0,1.0,0.005,0.02037445502890952,0.01735672718301462,0.0030177278458949006,sideways
5,2025-07-07,"TCB,VHM,VNM",3,0.06287811479223264,0.3333333333333333,0.3333333333333333,1.0,0.005,0.05787811479223264,0.04502263568976672,0.01285547910246592,bull
5,2025-07-14,"VIC,HPG,VNM",3,-0.003908247427250526,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.008908247427250526,0.007633328809879325,-0.016541576237129853,bull
5,2025-07-21,"VIC,VHM,SSI",3,0.07771611556775852,0.6666666666666666,0.6666666666666666,1.0,0.005,0.07271611556775852,0.04858408628792277,0.02413202927983575,bull
5,2025-07-28,"VIC,VHM,MWG",3,-0.034346723953639656,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.039346723953639653,-0.022020990656597905,-0.017325733297041748,bull
5,2025-08-04,"VNM,HPG,VHM",3,0.04262459789308637,0.6666666666666666,0.6666666666666666,1.0,0.005,0.03762459789308637,0.032103361578086576,0.005521236314999796,bull
5,2025-08-11,"HPG,TCB,MBB",3,0.0507266305187443,0.6666666666666666,0.6666666666666666,1.0,0.005,0.0457266305187443,0.020498908637355706,0.025227721881388596,bull
5,2025-08-18,"HPG,MBB,TCB",3,-0.062243955757974034,0.0,0.0,1.0,0.005,-0.06724395575797404,-0.019857535843763152,-0.04738641991421089,bull
5,2025-08-25,"TCB,HCM,VHM",3,0.0664840474758394,0.6666666666666666,0.6666666666666666,1.0,0.005,0.0614840474758394,0.043242471813900396,0.018241575661939007,bull
5,2025-09-03,"SSI,VIC,MBB",3,0.005039170973176373,1.0,1.0,1.0,0.005,3.917097317637265e-05,-0.0262682286574345,0.02630739963061087,bull
5,2025-09-10,"MBB,SSI,VIC",3,0.02653126711772554,0.0,0.0,1.0,0.005,0.021531267117725537,0.01966132723112124,0.001869939886604298,sideways
5,2025-09-17,"VIC,SSI,HPG",3,0.004380683451037111,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.000619316548962889,-0.010973535817644708,0.01035421926868182,sideways
5,2025-09-24,"VIC,HPG,VNM",3,0.036202460233854684,0.3333333333333333,0.3333333333333333,1.0,0.005,0.031202460233854683,0.0023900113179378124,0.02881244891591687,sideways
5,2025-10-01,"VIC,VHM,MWG",3,0.05192695490764776,0.6666666666666666,0.6666666666666666,1.0,0.005,0.04692695490764776,0.017859283950025118,0.029067670957622645,sideways
5,2025-10-08,"VIC,VNM,VHM",3,0.11055524652103155,0.3333333333333333,0.3333333333333333,1.0,0.005,0.10555524652103154,0.03241208391082706,0.07314316261020448,bull
5,2025-10-15,"VIC,VHM,VNM",3,-0.06481954819077147,0.0,0.0,1.0,0.005,-0.06981954819077148,-0.048744410629579904,-0.021075137561191573,bull
5,2025-10-22,"VIC,VHM,MWG",3,-0.019550771232192843,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.024550771232192844,0.0030343957685052825,-0.027585167000698126,sideways
5,2025-10-29,"VIC,FPT,MWG",3,-0.026087507296083334,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.031087507296083335,-0.020096753373637255,-0.01099075392244608,sideways
5,2025-11-05,"FPT,VIC,MWG",3,0.008275986778445063,0.0,0.0,1.0,0.005,0.0032759867784450626,-0.01497582499834016,0.018251811776785223,sideways
5,2025-11-12,"GAS,FPT,VIC",3,0.010746926989327296,0.3333333333333333,0.3333333333333333,1.0,0.005,0.005746926989327296,0.010020580164641357,-0.0042736531753140615,bear
5,2025-11-19,"VNM,GAS,MWG",3,-0.001960669715352359,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.006960669715352359,0.01721017234386446,-0.02417084205921682,sideways
5,2025-11-26,"VIC,VNM,GAS",3,0.05388179950706654,0.3333333333333333,0.3333333333333333,1.0,0.005,0.048881799507066545,0.027128817399453053,0.02175298210761349,sideways
5,2025-12-03,"VIC,VNM,VHM",3,0.01859688991150273,0.3333333333333333,0.3333333333333333,1.0,0.005,0.013596889911502728,-0.009467503356555551,0.02306439326805828,bull
5,2025-12-10,"VIC,GAS,VHM",3,-0.026479985679325895,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.031479985679325896,-0.021411698669223656,-0.01006828701010224,bull
5,2025-12-17,"VIC,GAS,VNM",3,0.06458517168530838,0.3333333333333333,0.3333333333333333,1.0,0.005,0.05958517168530838,0.06402711961516894,-0.004441947929860558,sideways
5,2025-12-24,"VHM,VIC,GAS",3,0.035747770127227074,0.3333333333333333,0.3333333333333333,1.0,0.005,0.030747770127227073,0.0029788836493009896,0.027768886477926084,bull
5,2025-12-31,"GAS,VHM,VIC",3,0.15671323397381073,0.0,0.0,1.0,0.005,0.15171323397381073,0.045195369111368455,0.10651786486244227,bull
5,2026-01-09,"GAS,VCB,VHM",3,-0.024931793008880525,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.029931793008880526,-0.0006647592507896816,-0.029267033758090845,bull
5,2026-01-16,"VHM,VCB,VNM",3,-0.04404277329800591,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.04904277329800591,-0.012603777966611607,-0.0364389953313943,bull
5,2026-01-23,"VCB,VHM,GAS",3,0.014057320017614061,0.3333333333333333,0.3333333333333333,1.0,0.005,0.00905732001761406,-0.025452762932848816,0.03451008295046287,bull
5,2026-01-30,"GAS,VCB,VNM",3,-0.03073844220471685,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.03573844220471685,-0.037613069458911186,0.001874627254194336,sideways
5,2026-02-06,"GAS,VCB,VNM",3,-0.04897179767869427,0.0,0.0,1.0,0.005,-0.05397179767869427,0.030699077841063183,-0.08467087551975745,bear
5,2026-02-13,"VIC,VNM,MBB",3,0.012951871851314486,0.6666666666666666,0.6666666666666666,1.0,0.005,0.007951871851314487,0.02531762909646096,-0.01736575724514647,sideways
5,2026-02-27,"VIC,VHM,HPG",3,-0.06393237675821506,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.06893237675821506,-0.05765960735816977,-0.01127276940004529,sideways
5,2026-03-06,"VIC,SSI,MWG",3,-0.0035361455890762596,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.00853614558907626,-0.03498261962872573,0.02644647403964947,bear
5,2026-03-13,"GAS,FPT,SSI",3,-0.0613241054230644,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.0663241054230644,-0.03130401044054887,-0.03502009498251553,bear
5,2026-03-20,"GAS,FPT,HCM",3,0.05899015984144588,0.3333333333333333,0.3333333333333333,1.0,0.005,0.05399015984144588,0.026188416732613184,0.027801743108832697,bear
5,2026-03-27,"GAS,FPT,VHM",3,0.04928856642064883,0.3333333333333333,0.3333333333333333,1.0,0.005,0.04428856642064883,0.023060847589424505,0.021227718831224325,bear
5,2026-04-03,"VHM,HCM,GAS",3,0.0288934395485847,0.3333333333333333,0.3333333333333333,1.0,0.005,0.023893439548584697,0.04037239386715341,-0.016478954318568714,bear
5,2026-04-10,"VHM,GAS,VIC",3,0.12150045965233673,0.3333333333333333,0.3333333333333333,1.0,0.005,0.11650045965233673,0.045209568783540544,0.07129089086879618,bull
5,2026-04-17,"GAS,VIC,VHM",3,0.04989694137982914,0.0,0.0,1.0,0.005,0.04489694137982914,0.018834213839243885,0.026062727540585258,bull
5,2026-04-24,"HCM,VIC,VHM",3,0.06667449853990881,0.3333333333333333,0.3333333333333333,1.0,0.005,0.06167449853990881,0.02223159123708829,0.039442907302820525,bull
5,2026-05-06,"HCM,VIC,VCB",3,-0.001539088903074785,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.006539088903074785,0.0004901340753857841,-0.007029222978460569,bull
5,2026-05-13,"VHM,VIC,HCM",3,0.04144963333369445,0.3333333333333333,0.3333333333333333,1.0,0.005,0.03644963333369445,0.008704500400691817,0.027745132933002632,bull
5,2026-05-20,"GAS,VIC,HCM",3,-0.07798243006559939,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.0829824300655994,-0.023958051279915016,-0.05902437878568438,bull
5,2026-05-27,"GAS,TCB,VCB",3,-0.020003910761716075,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.025003910761716076,-0.027111301278279987,0.0021073905165639104,sideways
5,2026-06-03,"FPT,GAS,HCM",3,-0.01759642754415443,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.022596427544154432,-0.010081884439761102,-0.01251454310439333,bear
5,2026-06-10,"FPT,GAS,HCM",3,-0.015550691316068824,0.0,0.0,1.0,0.005,-0.020550691316068823,0.007277695675208307,-0.02782838699127713,bear
5,2026-06-17,"HCM,VCB,FPT",3,-0.02225101999094566,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.02725101999094566,0.030537157657336333,-0.057788177648281994,bear
5,2026-06-24,"VHM,VIC,HCM",3,-0.017414618791073755,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.022414618791073756,-0.006121221476438565,-0.01629339731463519,sideways
5,2026-07-01,"TCB,VCB,VHM",3,-0.009189539666182522,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.014189539666182523,-0.008647659997753743,-0.005541879668428781,sideways
5,2026-07-08,"HCM,MBB,TCB",3,-0.046134611862577536,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.051134611862577534,-0.03303834488147117,-0.018096266981106363,sideways
5,2026-07-15,"MBB,TCB,VIC",3,-0.062328795611348485,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.06732879561134848,-0.058667885270688114,-0.008660910340660369,sideways
5,2026-07-22,"HPG,VIC,FPT",3,0.04632482330081289,0.6666666666666666,0.6666666666666666,1.0,0.005,0.04132482330081289,0.024139381195554366,0.017185442105258526,bear
5,2026-07-29,"MWG,VIC,FPT",3,0.06003380878839589,0.3333333333333333,0.3333333333333333,1.0,0.005,0.055033808788395894,0.04256018404403905,0.012473624744356843,bear
20,2025-03-11,"VHM,MBB,MWG",3,-0.12277019187968023,0.5,0.5,1.0,0.005,-0.12777019187968022,-0.18191129086518698,0.05414109898550676,bull
20,2025-04-09,"HCM,SSI,GAS",3,0.07604655840946524,1.0,1.0,1.0,0.005,0.07104655840946524,0.10048109494121382,-0.029434536531748587,bear
20,2025-05-12,"VIC,FPT,HCM",3,0.021714678822364997,0.6666666666666666,0.6666666666666666,1.0,0.005,0.016714678822364996,0.013784567781860435,0.0029301110405045606,bull
20,2025-06-09,"VIC,VHM,HPG",3,0.09095859043560368,0.6666666666666666,0.6666666666666666,1.0,0.005,0.08595859043560368,0.07212442840319944,0.013834162032404243,sideways
20,2025-07-07,"VHM,SSI,MWG",3,0.16910626935405246,0.6666666666666666,0.6666666666666666,1.0,0.005,0.16410626935405245,0.08607958381601488,0.07802668553803757,bull
20,2025-08-04,"VIC,VNM,HPG",3,0.06181314274678792,1.0,1.0,1.0,0.005,0.05681314274678792,0.08667972259386358,-0.029866579847075664,bull
20,2025-09-03,"HPG,MWG,SSI",3,-0.010547127870377407,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.015547127870377406,-0.013356324699719702,-0.002190803170657705,bull
20,2025-10-01,"VIC,MWG,VNM",3,0.10000290555659049,0.6666666666666666,0.6666666666666666,1.0,0.005,0.09500290555659048,0.010665211865422908,0.08433769369116757,sideways
20,2025-10-29,"VIC,VHM,FPT",3,0.039062978114642134,0.6666666666666666,0.6666666666666666,1.0,0.005,0.03406297811464214,-0.0050153064547645565,0.03907828456940669,sideways
20,2025-11-26,"VIC,VNM,VHM",3,0.18455026177328782,0.3333333333333333,0.3333333333333333,1.0,0.005,0.1795502617732878,0.05740704495175053,0.12214321682153728,sideways
20,2025-12-24,"GAS,VIC,VHM",3,0.16659213178466556,0.3333333333333333,0.3333333333333333,1.0,0.005,0.16159213178466555,0.05148410231622247,0.11010802946844309,bull
20,2026-01-23,"VHM,VNM,GAS",3,-0.014489045404261991,0.3333333333333333,0.3333333333333333,1.0,0.005,-0.019489045404261992,0.0018755228286293502,-0.021364568232891342,bull
20,2026-02-27,"VIC,HPG,VHM",3,-0.09335468121425043,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.09835468121425044,-0.10832031812197163,0.00996563690772119,sideways
20,2026-03-27,"GAS,VIC,VHM",3,0.33334044369271876,0.3333333333333333,0.3333333333333333,1.0,0.005,0.32834044369271875,0.12588088063763614,0.20245956305508261,bear
20,2026-04-24,"VHM,GAS,HCM",3,0.045988350811995,0.3333333333333333,0.3333333333333333,1.0,0.005,0.040988350811995006,0.013167069354132588,0.027821281457862418,bull
20,2026-05-27,"GAS,VHM,TCB",3,0.011123011821268217,0.3333333333333333,0.3333333333333333,1.0,0.005,0.006123011821268217,0.004449911750548097,0.0016731000707201201,sideways
20,2026-06-24,"VIC,VHM,HCM",3,-0.07094750728540411,0.6666666666666666,0.6666666666666666,1.0,0.005,-0.07594750728540411,-0.11187463738416259,0.035927130098758475,sideways
