date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2025-01-15,0,0.0,-0.013104838709677491,0,43700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-01-16,0,0.0,-0.008171603677221473,0,41500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-01-17,0,0.0,-0.012358393408856916,0,40300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-01-20,0,0.0,-0.02585315408479838,0,38400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-01-21,0,0.0,-0.01268498942917562,0,38000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-01-22,0,0.0,0.008528784648187626,0,35500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-01-23,0,0.0,0.0,0,35000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-01-24,0,0.0,0.0,0,36200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-03,0,0.0,0.012513034410844837,0,35900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-04,0,0.0,-0.013211382113821002,0,36900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-02-05,0,0.0,0.0,0,37700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-06,0,0.0,0.009193054136874546,0,37600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-07,0,0.0,-0.013157894736842146,0,39900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-02-10,0,0.0,0.009193054136874546,0,38800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-11,0,0.0,-0.004048582995951455,0,38700,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-02-12,0,0.0,0.025536261491317713,0,38700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-13,0,0.0,0.0,0,41300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-14,0,0.0,0.0,0,40900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-17,0,0.0,-0.008814887365328317,0,44200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
2025-02-18,0,0.0,0.012845849802371578,0,44200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0682575400000003,0.0
2025-02-19,0,0.0,-0.020408163265306034,0,46600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,1.0682575400000003,0.0
