horizon,sample,date,symbols,positions,completed_round_trips,gross_return,cost,net_return,market_return,net_excess_return,invested_fraction,cash_fraction,round_trip_turnover,winning_trades,entry_margin_min,entry_margin_max,market_regime
5,development,2024-12-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2024-12-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2024-12-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2024-12-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-01-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-01-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-01-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-02-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-02-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-02-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-02-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-03-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-03-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-03-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-03-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-03-31,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-04-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,development,2025-04-15,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,development,2025-04-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,development,2025-04-29,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,development,2025-05-09,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-05-16,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-05-23,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-05-30,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-06-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-06-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-06-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-06-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,development,2025-07-04,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-07-11,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-07-18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,development,2025-07-25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-08-04,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-08-11,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-08-18,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-08-25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-09-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-09-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-09-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-09-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-10-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-10-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-10-15,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-10-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-10-29,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-11-05,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-11-12,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2025-11-19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-11-26,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-12-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-12-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-12-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2025-12-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2025-12-31,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-01-09,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-01-16,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-01-23,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-01-30,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-02-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-02-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-02-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-03-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-03-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-03-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-03-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-04-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-04-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-04-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-04-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-05-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-05-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-05-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
5,frozen,2026-05-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-06-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-06-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-06-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-06-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-07-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-07-15,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
5,frozen,2026-07-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-07-29,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
5,frozen,2026-08-05,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,development,2024-02-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-02-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2024-03-07,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2024-03-21,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2024-04-04,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-04-19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,development,2024-05-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-05-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2024-06-05,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-06-19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-07-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-07-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-07-31,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-08-14,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,development,2024-08-28,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-09-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-09-27,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-10-11,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-10-25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-11-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-11-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-12-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2024-12-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2025-01-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2025-01-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2025-02-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2025-02-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2025-03-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2025-03-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2025-04-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,development,2025-04-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,development,2025-05-09,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2025-05-23,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2025-06-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,development,2025-06-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,development,2025-07-04,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2025-07-28,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2025-08-11,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2025-08-25,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2025-09-10,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2025-09-24,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2025-10-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2025-10-22,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2025-11-05,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2025-11-19,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2025-12-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2025-12-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2025-12-31,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2026-01-16,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2026-01-30,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2026-02-13,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2026-03-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,frozen,2026-03-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,frozen,2026-04-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,frozen,2026-04-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2026-05-06,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2026-05-20,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
10,frozen,2026-06-03,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,frozen,2026-06-17,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
10,frozen,2026-07-01,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2026-07-15,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
10,frozen,2026-07-29,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bear
20,development,2024-03-07,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,bull
20,development,2024-04-04,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-05-08,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
20,development,2024-06-05,,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,,,sideways
