date,raw_signal,executed_position,asset_return,executed_shares,liquidity_cap_shares,capital_utilization,turnover,transaction_cost,gross_strategy_return,net_strategy_return,transaction_cost_value,gross_pnl,net_pnl,equity_curve,drawdown
2025-07-03,0,0.0,-0.026483050847457612,0,35100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8506903500000005,-0.1511185145796522
2025-07-04,1,1.0,0.01196953210010876,1800,35600,0.972269169386957,1.9561759458068373,0.004896258668033554,0.011637607032923263,0.006741348364889707,416520.0,989999.9999999955,573479.9999999955,0.8564251500000004,-0.14539590876592856
2025-07-07,0,0.0,0.003225806451612856,0,34700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564251500000004,-0.14539590876592856
2025-07-08,0,0.0,0.021505376344086002,0,32000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564251500000004,-0.14539590876592856
2025-07-09,0,0.0,0.05833333333333335,0,32900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564251500000004,-0.14539590876592856
2025-07-10,0,0.0,0.03349282296650724,0,34400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8564251500000004,-0.14539590876592856
2025-07-11,0,0.0,-0.017391304347826098,0,34300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8564251500000004,-0.14539590876592856
2025-07-14,0,0.0,-0.021052631578947434,0,35800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.8564251500000004,-0.14539590876592856
2025-07-15,1,1.0,0.057657657657657735,1500,35700,0.9720639334330615,2.0001747963613625,0.005028460455651027,0.05604692949523966,0.051018469039588635,430650.0,4800000.0000000065,4369350.0000000065,0.9001186500000006,-0.10179531639619721
2025-07-16,1,1.0,0.03302286198137172,1500,36700,0.9840369377970334,2.00056959157551,0.005017671836929497,0.0324957159814431,0.027478044144513606,451650.0,2925000.0,2473350.0,0.9248521500000007,-0.07711440844932305
2025-07-17,0,0.0,-0.045709703287890924,0,38300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9248521500000007,-0.07711440844932305
2025-07-18,0,0.0,-0.0705394190871369,0,34600,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9248521500000007,-0.07711440844932305
2025-07-21,1,1.0,0.04723707664884125,1600,34800,0.9705335063555831,1.9869121783411536,0.0049902030286678774,0.04584516562998734,0.04085496260131946,461519.99999999994,4239999.999999991,3778479.9999999907,0.9626369500000006,-0.039409952121223446
2025-07-22,0,0.0,-0.03765690376569042,0,34800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-07-23,0,0.0,0.00694444444444442,0,34800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-07-24,0,0.0,0.007950530035335523,0,37100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-07-25,0,0.0,0.00521739130434784,0,37200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-07-28,0,0.0,-0.01565217391304341,0,38200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-07-29,0,0.0,-0.032685512367491176,0,39400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-07-30,0,0.0,-0.029438822447102164,0,41000,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-07-31,0,0.0,-0.018867924528301883,0,42900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-01,0,0.0,0.04708097928436916,0,42900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-04,0,0.0,-0.0008503401360543394,0,43800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-05,0,0.0,0.008510638297872353,0,47300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-06,0,0.0,-0.029535864978902926,0,47800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-07,0,0.0,0.018276762402088753,0,46300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-08,0,0.0,-0.012820512820512775,0,45500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-11,0,0.0,0.0,0,44400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-12,0,0.0,0.008695652173912993,0,44200,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-13,0,0.0,0.015463917525773141,0,44600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-14,0,0.0,-0.008389261744966459,0,43500,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-15,0,0.0,0.0,0,43100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-18,0,0.0,0.0,0,42700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-19,0,0.0,0.04721753794266448,0,43400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-20,0,0.0,0.022913256955810146,0,45700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-21,0,0.0,0.01721311475409837,0,44700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-22,0,0.0,0.056451612903225756,0,45500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-25,0,0.0,0.03435114503816794,0,45800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-08-26,0,0.0,-0.009009009009008917,0,44800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-27,0,0.0,-0.015885022692889494,0,43800,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-28,0,0.0,-0.02135774218154063,0,42100,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-08-29,0,0.0,-0.016522423288748977,0,41400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-09-03,0,0.0,0.0,0,40600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-04,0,0.0,-0.0015974440894569453,0,37400,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-09-05,0,0.0,-0.0007993605115906854,0,36300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-09-08,0,0.0,0.03359999999999985,0,35300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-09,0,0.0,0.013157894736842257,0,35100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-10,0,0.0,0.04615384615384621,0,34400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-11,0,0.0,0.013235294117647234,0,34500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-12,0,0.0,0.0007262164124910431,0,33400,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-15,0,0.0,-0.020319303338171335,0,32300,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-09-16,0,0.0,0.07191011235955047,0,31100,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-17,0,0.0,0.010452961672473782,0,31300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-18,0,0.0,0.05655172413793097,0,30900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-19,0,0.0,-0.006012024048096087,0,29900,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-09-22,0,0.0,0.008108108108108025,0,30500,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-23,0,0.0,0.0,0,28700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-24,0,0.0,0.06040268456375841,0,27600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-25,0,0.0,0.03797468354430378,0,27700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-26,0,0.0,0.06469500924214411,0,27900,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-29,0,0.0,0.008069164265129825,0,28000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
2025-09-30,0,0.0,-0.028016009148084664,0,29200,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.9626369500000006,-0.039409952121223446
2025-10-01,0,0.0,0.013033175355450233,0,29300,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9626369500000006,-0.039409952121223446
