date,open,high,low,close,volume,return_1d,return_5d,return_20d,sma_5,sma_20,sma_60,ema_12,ema_26,macd,macd_signal,macd_hist,rsi_14,bb_mid_20,bb_std_20,bb_upper_20,bb_lower_20,bb_width_20,bb_position_20,atr_14,atr_pct_14,adx_14,plus_di_14,minus_di_14,stoch_k_14,stoch_d_3,obv,obv_sma_20,volatility_20d,volume_sma_20,volume_z_20,volume_ratio_20,range_pct,close_vs_sma20,close_vs_sma60,target_next_up,next_return
2026-03-20,17.85,18.06,17.68,17.68,6678938,-0.0022573363431150906,-0.053026245313336995,-0.13120393120393126,18.296,19.6735,19.901333333333334,18.825691604029373,19.40603737913256,-0.5803457751031864,-0.3403912729690666,-0.23995450213411978,32.21090158437943,19.6735,1.1624125320803662,21.99832506416073,17.34867493583927,0.2363407694777981,0.07125806351376789,0.7104135525905124,0.040181762024350254,12.510567914680875,20.040646647742058,31.538208960137005,0.0,2.399362355114641,1056553614.0,1078970692.05,0.4208623528119117,12054130.45,-0.9671246502646728,0.5540787888188152,0.021493212669683202,-0.10132919917655736,-0.11161731207289294,0,-0.06843891402714941
2026-03-23,17.46,17.55,16.47,16.47,16848569,-0.06843891402714941,-0.12160000000000004,-0.20087336244541487,17.839999999999996,19.4665,19.850833333333334,18.463277511101776,19.188553128826445,-0.7252756177246695,-0.41736814192018723,-0.3079074758044823,25.847366575167342,19.4665,1.34166540263666,22.149830805273318,16.783169194726682,0.275687032108835,-0.05835456331199245,0.7460982988340473,0.04530044315932285,14.333528663907726,17.719123514696555,39.46887279660937,0.0,0.29498525073753706,1039705045.0,1078010173.85,0.4672747837961849,12600304.15,0.7781033807138726,1.337155738419219,0.0655737704918034,-0.15393111242390778,-0.17031190965954424,1,0.03400121432908332
2026-03-24,16.99,17.42,16.81,17.03,7024658,0.03400121432908332,-0.09607218683651797,-0.1804619826756496,17.478,19.279,19.80816666666667,18.24277327862458,19.028660304468932,-0.7858870258443531,-0.4910719187050204,-0.2948151071393327,32.49432804749745,19.279,1.4087953046936572,22.096590609387313,16.461409390612687,0.2922963441451645,0.10090014629750535,0.760662706060187,0.044666042634185964,16.026277931046945,16.138437244604866,35.947936488791996,9.773123909249602,3.257707969749948,1046729703.0,1076755500.9,0.4895562932563233,12306149.4,-0.9432855313972012,0.5708250218382689,0.03581914268937187,-0.11665542818610919,-0.14025359910474633,1,0.06811509101585433
2026-03-25,17.5,18.19,17.37,18.19,15106684,0.06811509101585433,-0.016224986479177805,-0.12632084534101817,17.418,19.1475,19.782,18.234654312682338,18.966537318952714,-0.7318830062703761,-0.5392341362180916,-0.19264887005228448,43.74357299815051,19.1475,1.379831702171082,21.907163404342164,16.387836595657838,0.28825313010493936,0.3265186981692348,0.7891867984844594,0.04338575032899721,16.315858993253617,21.413253305551322,32.17374346530088,37.63676148796504,15.80329513240496,1061836387.0,1075696533.7,0.5610904624651483,12501855.15,0.4629650613924304,1.2083553855605182,0.045079714128642125,-0.05000652826739782,-0.08047720149630966,1,0.03078614623419451
2026-03-26,18.28,18.97,18.15,18.75,17374795,0.03078614623419451,0.058126410835214415,-0.09942363112391928,17.624000000000002,19.044,19.7695,18.313938264577363,18.950497517548808,-0.6365592529714448,-0.5586991595687623,-0.07786009340268252,48.22881552693938,19.044,1.324292859962594,21.692585719925187,16.395414280074814,0.27815434991862914,0.44449868135506204,0.7913877414498551,0.04220734621065894,15.519051122480926,26.86851058190389,29.792531300198444,68.67469879518075,38.69486139746521,1079211182.0,1075506306.25,0.5759958924817016,13014810.25,0.781786940069466,1.335001791516707,0.043733333333333346,-0.015437933207309462,-0.05156933660436536,1,0.02293333333333325
2026-03-27,18.8,19.49,18.62,19.18,11317645,0.02293333333333325,0.08484162895927594,-0.08273553323768534,17.924,18.957500000000003,19.76066666666667,18.447178531565463,18.96749770143408,-0.5203191698686176,-0.5510231616287333,0.030703991760115734,51.43094267252939,18.957500000000003,1.250435187402874,21.458370374805753,16.456629625194253,0.2638396808445997,0.5444845127203521,0.7970029027748653,0.04155385311652061,14.657115911459758,29.433870999581906,27.469587418731425,81.62650602409641,62.645988769080816,1090528827.0,1075361994.0,0.5835546263915514,13060725.45,-0.31361484851779975,0.866540303854255,0.04535974973931165,0.011736779638665151,-0.029384973516413226,1,0.002606882168926017
2026-03-30,18.54,19.36,18.54,19.23,11846280,0.002606882168926017,0.16757741347905286,-0.04470938897168397,18.476,18.9125,19.757499999999997,18.567612603632316,18.986942316142667,-0.41932971251035056,-0.5246844718050568,0.10535475929470628,51.80423202971098,18.9125,1.2218875605090807,21.356275121018164,16.46872487898184,0.25842962284395643,0.5649609690493366,0.7986455525766607,0.04153122998318568,13.757822645198447,27.275236462307404,26.170507491964198,83.13253012048197,77.81124497991979,1102375107.0,1076593202.9,0.570078888641408,12869832.3,-0.18511102337918853,0.9204688704451882,0.04264170566822674,0.016787838730997873,-0.02669872200430201,1,0.017680707228289183
2026-03-31,19.4,19.87,19.23,19.57,11227399,0.017680707228289183,0.1491485613623018,-0.05046094129063561,18.984,18.860500000000002,19.76,18.721826049227346,19.030131774206172,-0.30830572497882613,-0.4814087224398107,0.17310299746098456,54.37230891707297,18.860500000000002,1.1667294594632707,21.193958918926544,16.52704108107346,0.24744401462596877,0.6520275317995289,0.7873137273926135,0.040230645242341004,13.511573041531562,30.318482257385117,24.650953068929347,91.17647058823528,85.31183557760464,1113602506.0,1077646388.5,0.566830970565753,12691809.0,-0.2652097619153524,0.884617708949134,0.0327031170158406,0.037618302802152614,-0.009615384615384692,1,0.03525804803270316
2026-04-01,19.92,20.52,19.87,20.26,19347856,0.03525804803270316,0.11379879054425501,-0.044790193305044745,19.398000000000003,18.813,19.776166666666665,18.95846819550006,19.121233124264975,-0.16276492876491488,-0.41767996370483157,0.2549150349399167,59.13159354439555,18.813,1.082327414223371,20.97765482844674,16.648345171553256,0.23012330074382,0.8342334262683127,0.7989341754359982,0.03943406591490613,13.946401218113218,33.55470827024157,22.557234593248666,93.5802469135803,89.29641587409925,1132950362.0,1078537693.3,0.5717002644225148,12529928.2,1.2967945281254531,1.5441314340492391,0.032082922013820264,0.0769148992717803,0.024465476120245855,1,0.0044422507403751865
2026-04-02,20.0,20.61,19.92,20.35,13662184,0.0044422507403751865,0.08533333333333348,-0.03645833333333326,19.718,18.774499999999996,19.794499999999996,19.172550011576973,19.21225289283794,-0.039702881260968326,-0.34208454721605897,0.30238166595509064,59.72174292732987,18.774499999999996,1.0070199653069498,20.788539930613897,16.760460069386095,0.21455057984115702,0.8911292859818762,0.7911531629048554,0.03887730530244989,14.43750955666254,32.27693973023,21.152008056383536,93.71980676328506,92.82550808836696,1146612546.0,1081345555.8,0.5720122449198093,11979588.9,0.3797243081312959,1.140455162029809,0.033906633906633794,0.08391701510026928,0.028063350930814357,1,0.023095823095823143
